,Unnamed: 0,ingrediente,risk,function,frecuencia,info,Cantidad de Rubros,Rubros,Cuartiles
2,HEXYL CINNAMAL,HEXYL CINNAMAL,5.0,PERFUMING,1.0,Ingrediente potencialmente irritante y sensibilizador de la piel y potencialmente peligroso para la vida acuática.,21.0,"['Cuidado Corporal, Talcos', 'Cuidado del Cabello, Crema para peinar', 'Cuidado Facial, Antiarrugas', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Desodorantes', 'Cuidado del Cabello, Acondicionador', 'Cuidado Corporal, Bronceadores', 'Cuidado Facial, Hidratantes', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Jabones', 'Cuidado corporal, Jabones', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Facial, Exfoliante', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Facial, Limpiador Facial', 'Niños, Protectores Solares', 'Limpieza de la Cocina, Detergentes']",Q4
0,HEXYL CINNAMAL,HEXYL CINNAMAL,5.0,PERFUMING,0.083,Ingrediente potencialmente irritante y sensibilizador de la piel y potencialmente peligroso para la vida acuática.,21.0,"['Cuidado Facial, Protectores Solares', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Desodorantes', 'Cuidado Facial, Exfoliante', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Facial, Limpiador Facial', 'Cuidado del Cabello, Crema para peinar', 'Cuidado Corporal, Protectores Solares', 'Niños, Protectores Solares', '--', 'Cuidado Facial, Antiarrugas', 'Cuidado Corporal, Bronceadores', 'Cuidado Corporal, Jabones', 'Cuidado Corporal, Cremas Corporales', 'Limpieza de la Cocina, Detergentes', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Cabello, Acondicionador', 'Cuidado Facial, Hidratantes']",Q3
1,LINALOOL,LINALOOL,4.0,"DEODORANT, PERFUMING",0.083,"Ingrediente presente en la muchos de los aceites esenciales usados en productos de Belleza y Cuidado Personal, natural. En su forma pura sus efectos alérgenos son muy bajos. Sin embargo, en contacto con el aire, el Linalool puede oxidarse, dando lugar a la formación de productos con características alergénicas e irritantes para la piel.",29.0,"['Cuidado Facial, Protectores Solares', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Desodorantes', 'Limpieza de Baño, Desinfectantes de Baño', 'Protectores Solares, Labial', 'Cuidado Corporal, Exfoliante', 'Cuidado Corporal, Hidratantes', 'Cuidado Corporal, Lociones Corporales', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Facial, Limpiador Facial', 'Cuidado del Cabello, Crema para peinar', 'Cuidado Corporal, Protectores Solares', 'Cuidado del Bebé, Para el Baño', 'Niños, Protectores Solares', 'Cuidado Facial, Limpieza Facial', '--', 'Cuidado Facial, Antiarrugas', 'Cuidado Corporal, Jabones', 'Cuidado Facial, Humectante', 'Desodorantes de Ambientes, Aerosoles', 'Cuidado Corporal, Cremas Corporales', 'Limpieza de la Cocina, Detergentes', 'Cuidado Corporal, Geles de Baño', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Cabello, Acondicionador', 'Cuidado Facial, Hidratantes']",Q3
0,DISODIUM EDTA,DISODIUM EDTA,3.0,"CHELATING, VISCOSITY CONTROLLING",1.0,Ingrediente generalmente considerado seguro para su uso en productos de Belleza y Cuidado Personal. Potencialmente bioacumulable y peligroso para el ambiente.,24.0,"['Niños, Protectores Solares', 'Cuidado del Bebé, Para el Baño', 'Cuidado Corporal, Talcos', 'Cuidado Facial, Cremas Hidratantes', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Exfoliante', 'Cuidado Corporal, Desodorante de Mujer', 'Cosmeticos, Maquillaje', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Facial, Humectante', 'Cuidado Facial, Hidratantes', 'Cuidado del Cabello, Acondicionador', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Bronceadores', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Facial, Exfoliante', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Lociones Corporales', 'Cuidado Facial, Limpieza Facial']",Q2
1,CITRONELLOL,CITRONELLOL,3.0,PERFUMING,1.0,Ingrediente potencialmente irritante para la piel.,23.0,"['Cuidado del Bebé, Para el Baño', 'Cuidado Facial, Limpiador Facial', 'Cuidado Corporal, Talcos', 'Cuidado corporal, Jabones', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Facial, Humectante', 'Cuidado de Ropa, Jabones de Lavar', 'Cuidado Facial, Hidratantes', 'Cuidado del Cabello, Acondicionador', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Jabones', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Lociones Corporales', 'Desodorantes de Ambientes, Aerosoles', 'Cuidado Facial, Limpieza Facial']",Q3
0,LINALOOL,LINALOOL,4.0,"DEODORANT, PERFUMING",0.6,"Ingrediente presente en la muchos de los aceites esenciales usados en productos de Belleza y Cuidado Personal, natural. En su forma pura sus efectos alérgenos son muy bajos. Sin embargo, en contacto con el aire, el Linalool puede oxidarse, dando lugar a la formación de productos con características alergénicas e irritantes para la piel.",28.0,"['Cuidado Corporal, Jabones', 'Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Corporal, Exfoliante', 'Cuidado Corporal, Protectores Solares', 'Cuidado del Cabello, Crema para peinar', 'Desodorantes de Ambientes, Aerosoles', 'Cuidado del Cabello, Acondicionador', 'Cuidado Facial, Protectores Solares', 'Cuidado Facial, Limpiador Facial', 'Cuidado Corporal, Cremas Corporales', 'Protectores Solares, Labial', 'Cuidado Facial, Hidratantes', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Bebé, Para el Baño', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Desodorantes', 'Limpieza de Baño, Desinfectantes de Baño', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Corporal, Lociones Corporales', 'Cuidado Facial, Humectante', 'Cuidado Corporal, Hidratantes', 'Niños, Protectores Solares', 'Cuidado Corporal, Geles de Baño', 'Limpieza de Cocina, Detergentes', 'Cuidado del Cabello, Tratamiento Capilar']","Q4 ,Q3"
2,0,0,3.0,"PERFUMING, TONIC",0.3,Ingrediente potencialmente irritante para la piel.,22.0,"['Cuidado Corporal, Jabones', 'Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Corporal, Protectores Solares', 'Desodorantes de Ambientes, Aerosoles', 'Cuidado del Cabello, Acondicionador', 'Cuidado Facial, Protectores Solares', 'Cuidado Facial, Limpiador Facial', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Facial, Hidratantes', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Bebé, Para el Baño', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Corporal, Lociones Corporales', 'Cuidado Facial, Humectante', 'Cuidado Corporal, Hidratantes', 'Niños, Protectores Solares', 'Cuidado del Cabello, Tratamiento Capilar']",Q3
3,DISODIUM EDTA,DISODIUM EDTA,3.0,"CHELATING, VISCOSITY CONTROLLING",0.1,Ingrediente generalmente considerado seguro para su uso en productos de Belleza y Cuidado Personal. Potencialmente bioacumulable y peligroso para el ambiente.,22.0,"['Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Corporal, Exfoliante', 'Cuidado Corporal, Protectores Solares', 'Cosmeticos, Maquillaje', 'Cuidado Corporal, Bronceadores', 'Cuidado del Cabello, Acondicionador', 'Cuidado Facial, Exfoliante', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Facial, Hidratantes', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Bebé, Para el Baño', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Corporal, Lociones Corporales', 'Cuidado Facial, Humectante', 'Niños, Protectores Solares', 'Cuidado del Cabello, Tratamiento Capilar']",Q2
0,ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,8.0,"EMULSION STABILISING, FILM FORMING, VISCOSITY CONTROLLING",0.152,"Ingrediente (microplástico) generalmente considerado seguro para su uso en productos de Belleza y Cuidado Personal, en las condiciones actuales de concentración y prácticas de uso. Sin embargo, es un microplástico y puede tener efectos adversos sobre el ambiente. Además, los productos de degradación de este ingrediente pueden irritar la piel.",11.0,"['Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Facial, Hidratantes', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Bebé, Para el Baño', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Lociones Corporales', 'Niños, Protectores Solares']","Q2 ,Q4 ,Q3"
1,BUTYL METHOXYDIBENZOYLMETHANE,BUTYL METHOXYDIBENZOYLMETHANE,8.1,"UV ABSORBER, UV FILTER",0.061,Ingrediente potencialmente irritante y sensibilizador de la piel. Otros riesgos potenciales se encuentran en proceso de evaluación. Su uso en productos de Belleza y Cuidado Personal está sujeto a limitaciones de concentración y restricciones de manufactura.,8.0,"['Cuidado Corporal, Jabones', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Cremas Corporales', 'Protectores Solares, Labial', 'Cuidado Facial, Hidratantes', 'Cuidado Corporal, Lociones Corporales', 'Niños, Protectores Solares']",Q1
2,OCTOCRYLENE,OCTOCRYLENE,8.3,"UV ABSORBER, UV FILTER",0.061,Existen restricciones en cuanto a la concentración máxima permitida y el tipo de formulaciones en los que puede utilizarse este ingrediente. Es potencialmente alergénico (o foto-alergénico) y peligroso para la vida acuática.,6.0,"['Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Cremas Corporales', 'Protectores Solares, Labial', 'Cuidado Facial, Hidratantes', 'Niños, Protectores Solares']","Q2 ,Q1"
